agegroup,A5,A6,A7,A8,A9,A11B,A12,A14,E1,D7,D4,D5,D6,trueage,Cluster
7,2,4,3,8,2,2,0,0,0,0,0,1,0,49.11156742,3
7,2,6,3,17,3,1,0,0,0,0,0,1,1,49.34976044,0
7,1,5,1,0,0,1,0,0,0,0,0,1,0,49.10882957,1
7,2,4,3,15,3,2,0,0,0,0,0,0,0,48.8843258,0
7,2,4,3,15,3,1,0,0,0,0,0,0,0,48.54757016,0
7,2,6,3,15,3,1,0,0,0,0,0,0,0,48.79945243,0
7,1,4,3,15,3,2,0,0,0,0,0,0,0,49.43737166,0
7,2,4,3,15,2,1,0,0,0,0,0,1,0,49.02669405,2
7,2,6,3,17,3,1,0,0,0,0,0,0,0,49.0513347,0
7,1,4,3,15,3,1,0,0,0,0,0,0,0,49.46475017,0
7,1,7,3,19,3,2,0,0,0,0,0,0,0,49.30595483,0
7,2,6,3,3,3,1,0,0,0,0,0,0,0,48.94729637,0
7,1,6,3,19,3,1,0,0,0,0,0,0,0,48.95550992,0
7,1,5,3,1,3,1,0,0,0,0,0,0,0,48.98836413,0
7,2,5,3,18,3,1,0,0,0,0,0,0,0,49.07871321,0
7,2,7,3,13,6,1,0,0,0,0,0,0,0,48.56673511,0
7,2,7,3,15,4,1,0,0,0,0,0,1,0,49.17727584,3
7,2,6,3,15,3,2,0,0,0,0,1,0,1,48.5284052,0
7,2,7,3,13,3,1,0,0,0,0,0,0,0,49.0513347,0
7,2,5,3,1,2,1,0,0,0,1,0,0,0,48.58316222,0
7,2,5,3,15,3,2,0,0,0,0,0,0,0,48.72279261,0
7,1,4,4,15,3,1,0,0,0,0,0,0,0,49.29774127,1
7,2,6,3,19,4,1,0,0,0,0,0,0,0,48.64613279,0
7,2,6,3,19,3,1,0,0,0,0,0,1,0,49.06502396,0
7,2,4,3,15,3,1,0,0,0,0,0,1,0,49.11430527,0
7,1,6,3,1,2,1,0,0,0,0,0,0,0,49.45106092,0
7,1,4,2,0,0,1,0,0,0,0,0,0,0,48.678987,1
7,1,5,1,0,0,2,0,0,0,0,0,1,0,48.68172485,1
7,2,6,3,15,4,1,0,0,0,1,0,1,0,48.62149213,0
7,2,5,1,0,0,1,0,0,1,0,0,0,0,48.58316222,1
7,2,5,3,15,2,1,0,0,0,0,0,0,0,48.69815195,2
7,1,4,1,0,0,1,0,0,0,0,0,1,0,48.65708419,1
7,2,7,3,17,7,1,0,0,0,0,0,1,0,49.34976044,3
7,1,5,1,0,0,1,0,0,0,1,1,0,0,48.65708419,1
7,2,6,3,17,5,1,0,0,0,0,0,0,0,48.66529774,0
7,2,5,3,19,3,1,0,0,0,1,0,1,0,48.73100616,0
7,2,4,3,19,3,2,0,0,0,0,0,0,0,49.25119781,0
7,1,4,4,17,3,1,0,0,0,1,0,0,0,48.55852156,0
7,2,4,3,19,3,1,0,0,0,0,0,1,0,48.92265572,0
7,1,4,3,15,2,1,0,0,0,0,0,0,0,49.34428474,2
7,1,4,1,0,0,1,0,0,0,0,0,0,0,48.94182067,1
7,2,7,4,13,4,1,0,0,0,0,0,1,0,48.68172485,3
7,2,5,3,17,2,1,0,0,0,0,0,0,0,49.46201232,0
7,2,5,3,6,3,1,0,0,0,0,0,0,0,49.17727584,0
7,2,6,3,15,3,1,0,0,0,0,0,0,0,48.98015058,0
7,2,5,3,14,3,1,0,0,0,0,0,1,1,49.13620808,0
7,2,6,3,19,3,1,0,0,0,0,0,1,0,48.80766598,0
7,1,4,3,6,4,1,0,0,0,0,0,0,0,48.63518138,1
7,2,7,3,17,4,1,0,0,0,1,0,1,0,48.58042437,3
7,2,5,3,17,3,1,0,0,0,1,0,0,1,49.44284736,0
7,1,4,3,1,3,1,0,0,0,0,0,1,0,48.72279261,2
7,1,5,3,7,4,1,0,0,0,0,0,0,0,49.2019165,2
7,1,4,2,0,0,1,0,0,0,0,0,0,0,49.18548939,1
7,2,4,1,0,0,1,0,0,0,0,0,1,0,49.14715948,1
7,1,4,1,0,0,1,0,0,1,0,0,0,0,49.0403833,1
7,2,4,1,0,0,1,0,0,0,0,0,0,0,48.92265572,1
7,1,5,3,17,3,1,0,0,0,0,0,0,0,48.5119781,0
7,2,5,3,9,4,1,0,0,0,0,0,1,0,49.0513347,2
7,1,5,2,0,0,1,0,0,0,1,1,1,0,49.29774127,1
7,1,4,3,17,3,1,0,0,0,1,0,1,0,48.97193703,0
7,1,5,3,7,3,1,0,0,0,0,0,1,0,48.64065708,2
7,1,6,3,17,3,1,0,0,0,0,1,0,0,48.62696783,0
7,1,6,3,15,3,2,0,0,0,0,0,0,0,48.53114305,0
7,1,4,3,1,3,2,0,0,0,0,0,1,0,48.80766598,2
7,2,7,3,17,4,1,0,0,1,0,0,0,0,48.8843258,0
7,1,5,3,15,2,1,0,0,0,0,0,1,0,48.79945243,2
7,1,6,1,0,0,1,0,0,0,0,0,1,0,48.7118412,1
7,1,5,3,19,2,2,0,0,1,0,0,1,0,49.3798768,2
7,1,4,3,6,3,2,0,0,0,0,0,0,0,48.87063655,0
7,1,5,3,1,3,1,0,0,0,0,0,0,0,49.40451745,0
7,1,4,1,0,0,2,0,0,0,0,0,0,0,48.8678987,1
7,1,5,3,15,2,3,0,0,1,0,0,0,0,48.59137577,2
7,2,6,3,19,3,1,0,0,0,0,0,0,0,48.67624914,0
7,1,6,1,0,0,1,0,0,0,0,0,0,0,49.2238193,1
7,1,4,3,8,3,1,0,0,0,0,0,0,0,49.07871321,0
7,2,6,3,16,3,1,0,0,0,0,0,0,0,48.86516085,0
7,2,6,3,15,2,1,0,0,0,0,0,0,0,48.94729637,0
7,1,4,1,0,0,1,0,0,0,0,0,1,1,48.94455852,1
7,1,4,1,0,0,2,0,0,0,0,0,1,0,49.10061602,1
7,1,6,3,1,2,1,0,0,0,0,0,0,0,48.56947296,0
7,2,6,3,4,3,1,0,0,0,0,0,0,0,48.69267625,0
7,1,4,1,0,0,1,0,0,0,0,0,1,0,48.61875428,1
7,2,7,3,3,4,1,0,0,0,0,0,0,0,49.30595483,0
7,1,4,1,0,0,1,0,0,0,0,0,0,0,48.55030801,1
7,2,9,3,15,3,2,0,0,0,1,1,0,1,49.13620808,0
7,2,3,3,1,3,3,0,0,1,0,0,1,0,49.0513347,0
7,2,7,3,13,4,1,0,0,0,0,0,1,0,48.76386037,3
7,1,3,1,0,0,1,0,0,1,0,0,0,0,48.83778234,1
7,2,7,3,17,5,1,0,0,0,0,1,1,0,49.45379877,3
7,1,5,3,1,3,1,0,0,0,1,1,0,1,48.5284052,0
7,2,8,3,16,4,1,0,0,0,0,0,0,0,48.57221081,0
7,1,6,1,0,0,1,0,0,0,0,0,0,0,48.61601643,1
7,1,6,1,0,0,1,0,0,0,0,0,0,0,48.61601643,1
7,1,4,2,0,0,1,0,0,0,0,0,1,0,48.74469541,1
7,2,6,3,18,4,1,0,0,0,0,0,1,0,48.96646133,0
7,1,5,3,3,3,1,0,0,0,1,0,0,0,49.14989733,0
7,1,4,3,1,2,2,0,0,0,1,1,0,0,48.56673511,1
7,2,5,3,8,3,1,0,0,0,1,0,0,0,48.88706366,0
7,1,5,3,1,2,2,0,0,0,1,0,1,0,48.53935661,2
7,1,5,1,0,0,1,0,0,0,0,0,0,0,49.06502396,1
7,2,4,3,1,4,1,0,0,0,0,0,0,0,49.10882957,0
7,2,7,3,19,3,1,0,0,0,0,0,0,0,49.04859685,0
7,1,8,3,15,3,1,0,0,0,0,0,0,0,49.47296372,0
7,2,6,3,3,4,1,0,0,0,0,0,1,0,48.99657769,0
7,2,5,2,0,0,1,0,0,0,0,0,0,0,49.13347023,1
7,2,4,1,0,0,1,0,0,0,0,0,0,0,49.13347023,1
7,1,4,1,0,0,2,0,0,0,0,0,1,0,49.25119781,1
7,1,4,1,0,0,1,0,0,0,0,0,0,0,49.16632444,1
7,1,6,4,1,2,1,0,0,0,0,0,1,0,48.84873374,2
7,2,4,4,6,3,1,0,0,0,0,0,0,1,49.30047912,0
7,2,6,3,15,3,1,0,0,0,0,0,1,0,48.59137577,0
7,1,5,3,6,4,1,0,0,0,0,0,1,0,48.91991786,2
7,2,6,3,15,4,1,0,0,0,0,0,0,0,49.05954825,0
7,2,7,3,19,4,1,0,0,0,0,0,0,0,48.7008898,0
7,1,6,1,0,0,1,0,0,0,0,0,1,0,48.84052019,1
7,1,5,3,19,3,1,0,0,0,0,0,1,1,48.59411362,2
7,1,4,1,0,0,1,0,0,0,0,0,0,0,48.73374401,1
7,2,7,3,15,4,1,0,0,0,0,0,0,0,48.99657769,0
